dateTime,Device,Metric,Value,RAG,
27/01/2020 00:00,A428,PM2.5,18.099999,,
27/01/2020 00:00,A4600,PM2.5,0.62,,
27/01/2020 00:00,B4098,PM2.5,5.8,,
27/01/2020 00:00,B4106,PM2.5,17.33,,
27/01/2020 00:30,A4114,PM2.5,30.269999,,
27/01/2020 00:30,A428,PM2.5,13.36,,
27/01/2020 00:30,A4600,PM2.5,0.56,,
27/01/2020 00:30,B4098,PM2.5,6.3,,
27/01/2020 00:30,B4106,PM2.5,15.11,,
27/01/2020 01:00,A4114,PM2.5,23.38,,
27/01/2020 01:00,A428,PM2.5,13.32,,
27/01/2020 01:00,A4600,PM2.5,0.27,,
27/01/2020 01:00,B4098,PM2.5,6.53,,
27/01/2020 01:00,B4106,PM2.5,17.75,,
27/01/2020 01:30,A4114,PM2.5,22.059999,,
27/01/2020 01:30,A428,PM2.5,9.355,,
27/01/2020 01:30,A4600,PM2.5,0.145,,
27/01/2020 01:30,B4098,PM2.5,4.77,,
27/01/2020 01:30,B4106,PM2.5,8.7,,
27/01/2020 02:00,A4114,PM2.5,16.75,,
27/01/2020 02:00,A428,PM2.5,5.88,,
27/01/2020 02:00,A4600,PM2.5,1.01,,
27/01/2020 02:00,B4098,PM2.5,3.19,,
27/01/2020 02:00,B4106,PM2.5,11.039999,,
27/01/2020 02:30,A4114,PM2.5,14.94,,
27/01/2020 02:30,A428,PM2.5,8.72,,
27/01/2020 02:30,A4600,PM2.5,0.21,,
27/01/2020 02:30,B4098,PM2.5,3.7,,
27/01/2020 02:30,B4106,PM2.5,8.559999,,
27/01/2020 03:00,A4114,PM2.5,16.18,,
27/01/2020 03:00,A428,PM2.5,14.969999,,
27/01/2020 03:00,A4600,PM2.5,0.745,,
27/01/2020 03:00,B4098,PM2.5,4.33,,
27/01/2020 03:00,B4106,PM2.5,7.32,,
27/01/2020 03:30,A4114,PM2.5,17.59,,
27/01/2020 03:30,A428,PM2.5,11.744999,,
27/01/2020 03:30,A4600,PM2.5,0.16,,
27/01/2020 03:30,B4098,PM2.5,5.27,,
27/01/2020 03:30,B4106,PM2.5,9.63,,
27/01/2020 04:00,A4114,PM2.5,4.24,,
27/01/2020 04:00,A428,PM2.5,7.1,,
27/01/2020 04:00,A4600,PM2.5,0.02,,
27/01/2020 04:00,B4098,PM2.5,3.62,,
27/01/2020 04:00,B4106,PM2.5,5.21,,
27/01/2020 04:30,A4114,PM2.5,5.875,,
27/01/2020 04:30,A428,PM2.5,17.940001,,
27/01/2020 04:30,A4600,PM2.5,0.03,,
27/01/2020 04:30,B4098,PM2.5,1.49,,
27/01/2020 04:30,B4106,PM2.5,9.22,,
27/01/2020 05:00,A4114,PM2.5,0.48,,
27/01/2020 05:00,A428,PM2.5,14.929999,,
27/01/2020 05:00,A4600,PM2.5,0.13,,
27/01/2020 05:00,B4098,PM2.5,0.04,,
27/01/2020 05:00,B4106,PM2.5,6.61,,
27/01/2020 05:30,A4114,PM2.5,0.6,,
27/01/2020 05:30,A428,PM2.5,6.8,,
27/01/2020 05:30,A4600,PM2.5,0.01,,
27/01/2020 05:30,B4098,PM2.5,0.57,,
27/01/2020 05:30,B4106,PM2.5,2.52,,
27/01/2020 06:00,A4114,PM2.5,3.55,,
27/01/2020 06:00,A428,PM2.5,7.83,,
27/01/2020 06:00,A4600,PM2.5,0.01,,
27/01/2020 06:00,B4098,PM2.5,0.61,,
27/01/2020 06:00,B4106,PM2.5,3.56,,
27/01/2020 06:30,A4114,PM2.5,1.68,,
27/01/2020 06:30,A428,PM2.5,26.955,,
27/01/2020 06:30,A4600,PM2.5,0.005,,
27/01/2020 06:30,B4098,PM2.5,1.74,,
27/01/2020 06:30,B4106,PM2.5,3.52,,
27/01/2020 07:00,A4114,PM2.5,0.86,,
27/01/2020 07:00,A428,PM2.5,9.83,,
27/01/2020 07:00,A4600,PM2.5,0.03,,
27/01/2020 07:00,B4098,PM2.5,0.57,,
27/01/2020 07:00,B4106,PM2.5,2.5,,
27/01/2020 07:30,A4114,PM2.5,7.99,,
27/01/2020 07:30,A428,PM2.5,11.66,,
27/01/2020 07:30,A4600,PM2.5,0.03,,
27/01/2020 07:30,B4098,PM2.5,1.23,,
27/01/2020 07:30,B4106,PM2.5,4.57,,
