Address,Postcode,Type,Status,Source,lat,long,Description
430 HOLYHEAD ROAD CV5 8ND,CV5 8ND,Commercial - Retail - Petrol Filling stations,,LLPG-BLPU-20200709,52.419426,-1.546624,
135 AVON STREET CV2 3GH,CV2 3GH,Commercial - Retail - Fast food outlets / takeaways (hot and cold),,LLPG-BLPU-20200709,52.417977,-1.474203,
188 NORTH STREET CV2 3FS,CV2 3FS,Commercial - Retail - Petrol Filling stations,,LLPG-BLPU-20200709,52.418024,-1.476585,
167  PETROL FILLING STATION ANSTY ROAD CV2 3FH,CV2 3FH,Commercial - Retail - Petrol Filling stations,,LLPG-BLPU-20200709,52.416308,-1.462843,
455B-457 HOLYHEAD ROAD CV5 8HU,CV5 8HU,Commercial - Retail - Retail Service Agent,,LLPG-BLPU-20200709,52.417439,-1.543963,
BARRAS HEATH HAND CAR WASH MERCER AVENUE CV2 4PP,CV2 4PP,Commercial - Retail - Retail Service Agent,,LLPG-BLPU-20200709,52.416664,-1.48232,
1A HEATH ROAD CV2 4PY,CV2 4PY,Commercial - Retail - Retail Service Agent,,LLPG-BLPU-20200709,52.414197,-1.48748,
487 HOLYHEAD ROAD CV5 8HU,CV5 8HU,Commercial - Retail - Fast food outlets / takeaways (hot and cold),,LLPG-BLPU-20200709,52.417439,-1.543963,
UNITS 10 T0 11  COVENTRY CANAL BASIN ST NICHOLAS STREET CV1 4LY,CV1 4LY,Commercial - Retail - Retail Service Agent,,LLPG-BLPU-20200709,52.413632,-1.511649,
35 HEATH CRESCENT CV2 4PR,CV2 4PR,Commercial - Retail - Retail Service Agent,,LLPG-BLPU-20200709,52.421001,-1.483064,
11 WHITAKER ROAD CV5 9JE,CV5 9JE,Commercial - Retail - Other Licensed Premise / Vendor,,LLPG-BLPU-20200709,52.413015,-1.555343,
241 WALSGRAVE ROAD CV2 4BB,CV2 4BB,Commercial - Retail - Banks/financial services,,LLPG-BLPU-20200709,52.411216,-1.482208,
292 WALSGRAVE ROAD CV2 4BL,CV2 4BL,Commercial - Retail - Fast food outlets / takeaways (hot and cold),,LLPG-BLPU-20200709,52.411114,-1.473506,
118 WALSGRAVE ROAD CV2 4AX,CV2 4AX,Commercial - Retail - Banks/financial services,,LLPG-BLPU-20200709,52.411235,-1.48034,
223-229 WALSGRAVE ROAD CV2 4HH,CV2 4HH,Commercial - Retail - Banks/financial services,,LLPG-BLPU-20200709,52.41078,-1.483483,
193-195 LONGFELLOW ROAD CV2 5HL,CV2 5HL,Commercial - Retail - Retail Service Agent,,LLPG-BLPU-20200709,52.410529,-1.46137,
98-100 WALSGRAVE ROAD CV2 4ED,CV2 4ED,Commercial - Retail - Banks/financial services,,LLPG-BLPU-20200709,52.410554,-1.483068,
185 WALSGRAVE ROAD CV2 4HH,CV2 4HH,Commercial - Retail - Banks/financial services,,LLPG-BLPU-20200709,52.41078,-1.483483,
6 LOWER FORD STREET CV1 5QJ,CV1 5QJ,Commercial - Retail - Retail Service Agent,,LLPG-BLPU-20200709,52.410396,-1.502755,
11-13 HALES STREET CV1 1JB,CV1 1JB,Commercial - Retail - Fast food outlets / takeaways (hot and cold),,LLPG-BLPU-20200709,52.41048,-1.51036,
9 MINSTER ROAD CV1 3AF,CV1 3AF,Commercial - Retail - Petrol Filling stations,,LLPG-BLPU-20200709,52.410057,-1.523016,
2 NAPIER STREET CV1 5PR,CV1 5PR,Commercial - Retail - Retail Service Agent,,LLPG-BLPU-20200709,52.409617,-1.497133,
HOLLYWOOD NAILS SMITHFORD WAY CV1 1FZ,CV1 1FZ,Commercial - Retail - Retail Service Agent,,LLPG-BLPU-20200709,52.409844,-1.512787,
254 HIPSWELL HIGHWAY CV2 5FS,CV2 5FS,Commercial - Retail - Other Licensed Premise / Vendor,,LLPG-BLPU-20200709,52.408545,-1.459997,
3 TRINITY STREET CV1 1FJ,CV1 1FJ,Commercial - Retail - Fast food outlets / takeaways (hot and cold),,LLPG-BLPU-20200709,52.409776,-1.509604,
THIRD FLOOR 53 CORPORATION STREET CV1 1GX,CV1 1GX,Commercial - Retail - Banks/financial services,,LLPG-BLPU-20200709,52.409464,-1.514394,
