LSOA,IMD rank,IMD decile,IDACI rank,IDACI decile,IDAOPI rank,IDAOPI decile
E01014781,"16,523",6,"17,104",6,"14,963",5
E01014782,"30,507",10,"28,437",9,"31,783",10
E01014783,"20,347",7,"20,611",7,"20,478",7
E01014784,"27,667",9,"23,782",8,"26,161",8
E01014785,"29,037",9,"28,464",9,"32,274",10
E01014786,"12,371",4,"8,796",3,"14,690",5
E01014787,"27,410",9,"19,658",6,"24,653",8
E01014789,"29,352",9,"32,386",10,"32,530",10
E01014790,"29,701",10,"32,611",10,"29,206",9
E01014792,"29,374",9,"27,956",9,"26,992",9
E01014793,"30,524",10,"28,873",9,"31,570",10
E01014794,"27,482",9,"24,297",8,"28,474",9
E01014795,"14,677",5,"12,324",4,"18,578",6
E01014796,"27,474",9,"27,284",9,"22,575",7
E01014797,"25,737",8,"19,524",6,"20,986",7
E01014798,"32,339",10,"28,790",9,"31,490",10
E01014799,"3,493",2,"5,860",2,"8,620",3
E01014800,545,1,"2,855",1,"5,044",2
E01014801,"1,069",1,"4,520",2,"9,991",4
E01014802,"4,656",2,"18,990",6,"8,024",3
E01014803,"22,490",7,"27,693",9,"24,417",8
E01014804,"15,641",5,"24,942",8,"14,602",5
E01014805,"22,340",7,"32,122",10,"32,236",10
E01014806,"4,317",2,"7,611",3,"9,361",3
E01014807,"7,147",3,"6,512",2,"6,319",2
E01014808,"22,787",7,"20,008",7,"19,825",7
E01014809,"7,498",3,"5,483",2,"12,014",4
E01014810,"6,019",2,"3,843",2,"6,438",2
E01014811,"8,545",3,"10,907",4,"6,869",3
E01014812,"18,007",6,"13,966",5,"19,245",6
E01014813,"17,895",6,"22,266",7,"18,172",6
E01014815,"9,463",3,"6,869",3,"12,140",4
E01014816,"26,526",9,"23,127",8,"23,855",8
E01014817,"22,757",7,"22,257",7,"22,541",7
E01014818,"30,999",10,"24,975",8,"30,255",10
E01014819,"25,617",8,"17,383",6,"29,098",9
E01014820,"11,904",4,"5,071",2,"9,876",4
E01014821,"25,155",8,"20,010",7,"15,611",5
E01014822,"31,922",10,"28,674",9,"28,912",9
E01014823,"30,015",10,"21,213",7,"24,358",8
E01014824,"24,160",8,"16,478",6,"15,539",5
E01014825,"26,345",9,"20,716",7,"28,117",9
E01014826,"24,107",8,"19,033",6,"22,011",7
E01014827,"8,817",3,"9,711",3,"7,884",3
E01014828,"3,307",2,"1,771",1,"8,995",3
E01014829,"1,748",1,"1,190",1,"1,897",1
E01014830,"8,083",3,"11,684",4,"14,066",5
E01014831,156,1,53,1,"1,159",1
E01014832,353,1,521,1,"1,695",1
E01014833,"1,030",1,441,1,"1,936",1
E01014834,"2,548",1,"2,860",1,"6,133",2
E01014835,"6,799",3,"9,754",3,"7,618",3
E01014836,"13,441",5,"11,541",4,"18,964",6
E01014838,"21,430",7,"13,145",5,"23,417",8
E01014839,"19,793",7,"14,330",5,"17,979",6
E01014840,"12,846",4,"9,548",3,"18,375",6
E01014841,"7,155",3,"14,645",5,"11,927",4
E01014842,"3,921",2,"3,219",1,"10,138",4
E01014843,"13,733",5,"18,820",6,"15,783",5
E01014844,"1,813",1,"1,243",1,"4,485",2
E01014845,"21,740",7,"25,673",8,"22,602",7
E01014846,"18,600",6,"19,660",6,"16,677",6
E01014847,"23,212",8,"30,721",10,"27,294",9
E01014848,"19,217",6,"21,965",7,"27,191",9
E01014849,"29,643",10,"31,994",10,"30,544",10
E01014850,"29,893",10,"31,325",10,"29,957",10
E01014851,"27,585",9,"24,141",8,"19,043",6
E01014852,"24,658",8,"26,133",8,"25,418",8
E01014853,"31,110",10,"23,310",8,"26,401",9
E01014854,"24,535",8,"30,924",10,"31,459",10
E01014855,"31,186",10,"30,497",10,"25,016",8
E01014856,"21,679",7,"18,304",6,"18,329",6
E01014857,"24,937",8,"17,295",6,"28,611",9
E01014858,"21,350",7,"20,788",7,"29,711",10
E01014859,"29,220",9,"29,589",10,"24,861",8
E01014860,"19,900",7,"18,713",6,"16,536",6
E01014861,"14,305",5,"9,164",3,"24,578",8
E01014862,"26,425",9,"22,353",7,"31,446",10
E01014863,"25,488",8,"30,141",10,"25,050",8
E01014864,"21,849",7,"26,294",9,"31,035",10
E01014865,"19,576",6,"15,996",5,"22,192",7
E01014866,"30,590",10,"27,316",9,"27,148",9
E01014867,"24,585",8,"17,626",6,"20,994",7
E01014868,"20,926",7,"14,053",5,"23,559",8
E01014869,"32,517",10,"30,351",10,"23,695",8
E01014870,"17,642",6,"18,927",6,"29,546",9
E01014871,"26,723",9,"17,446",6,"20,068",7
E01014872,"27,111",9,"22,762",7,"25,468",8
E01014873,"32,325",10,"26,086",8,"31,955",10
E01014874,"30,767",10,"20,709",7,"26,924",9
E01014875,"30,646",10,"21,736",7,"21,362",7
E01014876,"30,366",10,"21,111",7,"22,789",7
E01014877,"32,504",10,"29,981",10,"29,680",10
E01014878,"32,711",10,"30,359",10,"23,690",8
E01014879,"32,408",10,"27,020",9,"22,627",7
E01014880,"31,725",10,"28,629",9,"19,954",7
E01014881,"31,469",10,"31,629",10,"19,735",7
E01014882,"20,220",7,"12,836",4,"11,193",4
E01014883,"31,634",10,"25,624",8,"30,117",10
E01014884,"19,491",6,"24,434",8,"20,347",7
E01014885,"32,111",10,"24,532",8,"31,339",10
E01014886,"16,277",5,"12,074",4,"16,079",5
E01014887,"31,449",10,"32,346",10,"32,520",10
E01014888,"30,023",10,"30,153",10,"29,307",9
E01014889,"29,152",9,"28,258",9,"29,971",10
E01014890,"22,313",7,"24,052",8,"23,667",8
E01014891,"12,691",4,"23,448",8,"21,645",7
E01014892,"13,660",5,"14,755",5,"21,507",7
E01014893,"20,972",7,"19,859",7,"27,174",9
E01014894,"23,762",8,"16,129",5,"31,023",10
E01014895,"23,870",8,"26,906",9,"24,493",8
E01014896,"25,370",8,"26,137",8,"22,632",7
E01014897,"32,142",10,"30,498",10,"31,504",10
E01014898,"26,811",9,"27,655",9,"19,325",6
E01014899,"27,455",9,"24,006",8,"19,667",6
E01014900,"20,207",7,"16,561",6,"12,539",4
E01014901,"31,788",10,"32,602",10,"31,861",10
E01014902,"32,422",10,"31,992",10,"29,839",10
E01014903,"29,816",10,"32,502",10,"30,692",10
E01014904,"12,612",4,"8,472",3,"17,802",6
E01014905,"27,396",9,"28,516",9,"29,021",9
E01014906,"12,286",4,"9,085",3,"9,434",3
E01014907,"22,548",7,"20,880",7,"13,716",5
E01014908,"27,740",9,"31,231",10,"28,700",9
E01014909,"21,034",7,"19,376",6,"18,047",6
E01014910,"22,095",7,"14,653",5,"14,544",5
E01014911,"31,255",10,"30,493",10,"31,484",10
E01014912,"32,562",10,"30,787",10,"28,126",9
