pcds,term,usertype,oa21,lsoa11,lsoa21,lsoa21_onsname,lsoa21_name,imd_decile,msoa21,msoa21_onsname,msoa21_name,ward,ward_name,pcon,pcon_name
CV5 9FY,0,0,E00048239,E01009528,E01009528,Coventry 010C,Browns Lane ,8,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9FZ,0,0,E00048239,E01009528,E01009528,Coventry 010C,Browns Lane ,8,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9GA,0,0,E00048239,E01009528,E01009528,Coventry 010C,Browns Lane ,8,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9GB,0,0,E00048235,E01009526,E01009526,Coventry 010B,Coundon Wedge,7,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9GD,0,0,E00048240,E01009531,E01009531,Coventry 010D,Allesley Village,6,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9GE,0,0,E00048240,E01009531,E01009531,Coventry 010D,Allesley Village,6,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9GF,0,0,E00048240,E01009531,E01009531,Coventry 010D,Allesley Village,6,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9GG,0,0,E00048240,E01009531,E01009531,Coventry 010D,Allesley Village,6,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9GH,0,0,E00048243,E01009531,E01009531,Coventry 010D,Allesley Village,6,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9GJ,0,0,E00048235,E01009526,E01009526,Coventry 010B,Coundon Wedge,7,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9GL,0,0,E00048243,E01009531,E01009531,Coventry 010D,Allesley Village,6,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9GN,0,0,E00048241,E01009526,E01009526,Coventry 010B,Coundon Wedge,7,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9GP,1,1,E00048245,E01009531,E01009531,Coventry 010D,Allesley Village,6,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9GQ,0,0,E00048253,E01009523,E01009523,Coventry 010A,Hawkes End & countryside,6,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9GR,0,0,E00048245,E01009531,E01009531,Coventry 010D,Allesley Village,6,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9GS,0,0,E00048243,E01009531,E01009531,Coventry 010D,Allesley Village,6,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9GT,0,0,E00048245,E01009531,E01009531,Coventry 010D,Allesley Village,6,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9GU,0,0,E00048241,E01009526,E01009526,Coventry 010B,Coundon Wedge,7,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9GW,0,0,E00048241,E01009526,E01009526,Coventry 010B,Coundon Wedge,7,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9GX,0,0,E00048243,E01009531,E01009531,Coventry 010D,Allesley Village,6,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9GY,0,1,E00048253,E01009523,E01009523,Coventry 010A,Hawkes End & countryside,6,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9GZ,0,0,E00048243,E01009531,E01009531,Coventry 010D,Allesley Village,6,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9HA,0,0,E00048244,E01009531,E01009531,Coventry 010D,Allesley Village,6,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9HB,0,0,E00048244,E01009531,E01009531,Coventry 010D,Allesley Village,6,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9HD,0,0,E00048238,E01009531,E01009531,Coventry 010D,Allesley Village,6,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9HE,0,0,E00049020,E01009693,E01009693,Coventry 022C,Allesley Park South - Buckingham Rise,7,E02001979,Coventry 022,Allesley Park,E05001233,Whoberley,E14001181,Coventry North West
CV5 9HF,0,0,E00049020,E01009693,E01009693,Coventry 022C,Allesley Park South - Buckingham Rise,7,E02001979,Coventry 022,Allesley Park,E05001233,Whoberley,E14001181,Coventry North West
CV5 9HG,0,0,E00049020,E01009693,E01009693,Coventry 022C,Allesley Park South - Buckingham Rise,7,E02001979,Coventry 022,Allesley Park,E05001233,Whoberley,E14001181,Coventry North West
CV5 9HH,0,0,E00049010,E01009693,E01009693,Coventry 022C,Allesley Park South - Buckingham Rise,7,E02001979,Coventry 022,Allesley Park,E05001233,Whoberley,E14001181,Coventry North West
CV5 9HJ,0,0,E00049020,E01009693,E01009693,Coventry 022C,Allesley Park South - Buckingham Rise,7,E02001979,Coventry 022,Allesley Park,E05001233,Whoberley,E14001181,Coventry North West
CV5 9HL,0,0,E00049010,E01009693,E01009693,Coventry 022C,Allesley Park South - Buckingham Rise,7,E02001979,Coventry 022,Allesley Park,E05001233,Whoberley,E14001181,Coventry North West
CV5 9HN,0,0,E00049020,E01009693,E01009693,Coventry 022C,Allesley Park South - Buckingham Rise,7,E02001979,Coventry 022,Allesley Park,E05001233,Whoberley,E14001181,Coventry North West
CV5 9HP,0,0,E00049021,E01009693,E01009693,Coventry 022C,Allesley Park South - Buckingham Rise,7,E02001979,Coventry 022,Allesley Park,E05001233,Whoberley,E14001181,Coventry North West
CV5 9HQ,0,0,E00049020,E01009693,E01009693,Coventry 022C,Allesley Park South - Buckingham Rise,7,E02001979,Coventry 022,Allesley Park,E05001233,Whoberley,E14001181,Coventry North West
CV5 9HR,0,0,E00049020,E01009693,E01009693,Coventry 022C,Allesley Park South - Buckingham Rise,7,E02001979,Coventry 022,Allesley Park,E05001233,Whoberley,E14001181,Coventry North West
CV5 9HS,0,0,E00049021,E01009693,E01009693,Coventry 022C,Allesley Park South - Buckingham Rise,7,E02001979,Coventry 022,Allesley Park,E05001233,Whoberley,E14001181,Coventry North West
CV5 9HT,0,0,E00049021,E01009693,E01009693,Coventry 022C,Allesley Park South - Buckingham Rise,7,E02001979,Coventry 022,Allesley Park,E05001233,Whoberley,E14001181,Coventry North West
CV5 9HU,0,0,E00049021,E01009693,E01009693,Coventry 022C,Allesley Park South - Buckingham Rise,7,E02001979,Coventry 022,Allesley Park,E05001233,Whoberley,E14001181,Coventry North West
CV5 9HW,0,0,E00049010,E01009693,E01009693,Coventry 022C,Allesley Park South - Buckingham Rise,7,E02001979,Coventry 022,Allesley Park,E05001233,Whoberley,E14001181,Coventry North West
CV5 9HX,0,0,E00049010,E01009693,E01009693,Coventry 022C,Allesley Park South - Buckingham Rise,7,E02001979,Coventry 022,Allesley Park,E05001233,Whoberley,E14001181,Coventry North West
CV5 9HY,0,0,E00049010,E01009693,E01009693,Coventry 022C,Allesley Park South - Buckingham Rise,7,E02001979,Coventry 022,Allesley Park,E05001233,Whoberley,E14001181,Coventry North West
CV5 9HZ,0,0,E00049010,E01009693,E01009693,Coventry 022C,Allesley Park South - Buckingham Rise,7,E02001979,Coventry 022,Allesley Park,E05001233,Whoberley,E14001181,Coventry North West
CV5 9JA,0,0,E00049017,E01009693,E01009693,Coventry 022C,Allesley Park South - Buckingham Rise,7,E02001979,Coventry 022,Allesley Park,E05001233,Whoberley,E14001181,Coventry North West
CV5 9JB,0,0,E00049011,E01009694,E01009694,Coventry 022D,Allesley Park – Allesley Old Road ,10,E02001979,Coventry 022,Allesley Park,E05001233,Whoberley,E14001181,Coventry North West
CV5 9JD,0,0,E00048253,E01009523,E01009523,Coventry 010A,Hawkes End & countryside,6,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
